d01-x01-y01 20_40_R0.4_1
d02-x01-y01 20_40_R0.4_1.5
d03-x01-y01 20_40_R0.4_2
d04-x01-y01 20_40_R0.4_3
d05-x01-y01 20_40_R0.4_1_SD_zcut02_B0
d06-x01-y01 20_40_R0.4_1.5_SD_zcut02_B0
d07-x01-y01 20_40_R0.4_2_SD_zcut02_B0
d08-x01-y01 20_40_R0.4_3_SD_zcut02_B0
d09-x01-y01 40_60_R0.4_1
d10-x01-y01 40_60_R0.4_1.5
d11-x01-y01 40_60_R0.4_2
d12-x01-y01 40_60_R0.4_3
d13-x01-y01 40_60_R0.4_1_SD_zcut02_B0
d14-x01-y01 40_60_R0.4_1.5_SD_zcut02_B0
d15-x01-y01 40_60_R0.4_2_SD_zcut02_B0
d16-x01-y01 40_60_R0.4_3_SD_zcut02_B0
d17-x01-y01 60_80_R0.4_1
d18-x01-y01 60_80_R0.4_1.5
d19-x01-y01 60_80_R0.4_2
d20-x01-y01 60_80_R0.4_3
d21-x01-y01 60_80_R0.4_1_SD_zcut02_B0
d22-x01-y01 60_80_R0.4_1.5_SD_zcut02_B0
d23-x01-y01 60_80_R0.4_2_SD_zcut02_B0
d24-x01-y01 60_80_R0.4_3_SD_zcut02_B0
d25-x01-y01 80_100_R0.4_1
d26-x01-y01 80_100_R0.4_1.5
d27-x01-y01 80_100_R0.4_2
d28-x01-y01 80_100_R0.4_3
d29-x01-y01 80_100_R0.4_1_SD_zcut02_B0
d30-x01-y01 80_100_R0.4_1.5_SD_zcut02_B0
d31-x01-y01 80_100_R0.4_2_SD_zcut02_B0
d32-x01-y01 80_100_R0.4_3_SD_zcut02_B0
d33-x01-y01 20_40_R0.2_1
d34-x01-y01 20_40_R0.2_1.5
d35-x01-y01 20_40_R0.2_2
d36-x01-y01 20_40_R0.2_3
d37-x01-y01 20_40_R0.2_1_SD_zcut02_B0
d38-x01-y01 20_40_R0.2_1.5_SD_zcut02_B0
d39-x01-y01 20_40_R0.2_2_SD_zcut02_B0
d40-x01-y01 20_40_R0.2_3_SD_zcut02_B0
d41-x01-y01 40_60_R0.2_1
d42-x01-y01 40_60_R0.2_1.5
d43-x01-y01 40_60_R0.2_2
d44-x01-y01 40_60_R0.2_3
d45-x01-y01 40_60_R0.2_1_SD_zcut02_B0
d46-x01-y01 40_60_R0.2_1.5_SD_zcut02_B0
d47-x01-y01 40_60_R0.2_2_SD_zcut02_B0
d48-x01-y01 40_60_R0.2_3_SD_zcut02_B0
d49-x01-y01 60_80_R0.2_1
d50-x01-y01 60_80_R0.2_1.5
d51-x01-y01 60_80_R0.2_2
d52-x01-y01 60_80_R0.2_3
d53-x01-y01 60_80_R0.2_1_SD_zcut02_B0
d54-x01-y01 60_80_R0.2_1.5_SD_zcut02_B0
d55-x01-y01 60_80_R0.2_2_SD_zcut02_B0
d56-x01-y01 60_80_R0.2_3_SD_zcut02_B0
d57-x01-y01 80_100_R0.2_1
d58-x01-y01 80_100_R0.2_1.5
d59-x01-y01 80_100_R0.2_2
d60-x01-y01 80_100_R0.2_3
d61-x01-y01 80_100_R0.2_1_SD_zcut02_B0
d62-x01-y01 80_100_R0.2_1.5_SD_zcut02_B0
d63-x01-y01 80_100_R0.2_2_SD_zcut02_B0
d64-x01-y01 80_100_R0.2_3_SD_zcut02_B0
